cycle_count,nominal_capacity_ah,voltage_v,current_a,temperature_c,charge_voltage,discharge_cutoff,avg_charge_current,avg_discharge_curr,depth_of_discharge,charge_time_h,rest_time_h,coulombic_efficiency,internal_resistance,max_temp_seen,min_temp_seen,humidity_pct,overcharge_events,overdischarge_events,battery_chemistry,battery_age_days,soh_percent,rul_cycles,fault_type,fault_label
20,150,4.2358,6.239,33.0,4.1887,2.8376,0.344,1.849,0.9327,5.274,0.97,0.98237,0.04497,44.46,27.56,56.5,0,0,LFP,2,100.0,2949,0,Normal
840,100,3.9881,2.111,32.17,4.1889,2.7286,1.872,3.157,0.9633,7.394,6.705,1.0,0.10302,34.86,25.68,71.6,2,0,NCA,579,85.34,286,3,Deep_Discharge
166,50,2.8642,-6.161,47.59,4.025,2.916,1.067,3.078,0.5646,4.365,2.291,0.96526,0.05834,66.69,36.77,29.0,0,0,LFP,154,95.3,2750,1,Thermal_Runaway_Risk
1297,150,3.2649,-5.974,44.99,4.1533,2.7855,1.608,3.053,0.5322,5.895,4.936,0.97464,0.14238,54.48,37.28,64.2,3,2,NMC,876,69.9,22,0,Normal
387,60,3.6292,6.38,14.85,4.09,2.8856,2.896,4.776,0.4983,2.392,6.916,1.0,0.06779,24.7,13.13,60.5,0,0,NMC,275,91.2,1120,0,Normal
600,60,3.8461,20.262,33.57,4.1366,2.9243,0.377,3.972,0.8899,5.03,2.308,0.98709,0.08449,45.94,28.07,42.7,0,1,LFP,427,84.59,2440,0,Normal
315,75,3.598,10.088,37.08,4.0221,2.9106,2.646,0.242,0.7786,6.256,9.028,0.96916,0.07157,44.15,31.04,56.1,0,0,NMC,270,92.99,1170,0,Normal
13,50,3.9399,-14.289,30.84,4.147,2.7011,0.443,0.334,0.4466,5.671,5.751,1.0,0.03167,44.1,25.16,52.9,0,0,NMC,37,99.62,1500,1,Thermal_Runaway_Risk
241,75,3.2099,-31.979,24.84,4.1944,2.6844,2.03,0.392,0.8986,6.528,10.484,0.96008,0.0541,38.43,20.6,61.6,0,0,NMC,150,94.59,1291,0,Normal
776,50,3.0667,14.795,43.79,4.2467,2.9345,1.161,1.95,0.434,3.404,3.72,0.98018,0.10084,62.75,35.53,50.3,2,0,LTO,559,84.66,7145,2,Overcharge
1369,75,2.8782,53.659,33.3,4.0801,2.5716,0.48,2.31,0.6428,2.477,9.192,1.0,0.14816,36.55,28.71,61.9,0,2,NMC,910,69.57,25,3,Deep_Discharge
564,60,3.6313,-5.517,19.57,4.0388,2.6397,2.319,4.075,0.3801,2.422,0.291,1.0,0.08795,30.02,10.44,44.1,3,1,LTO,300,88.77,7451,0,Normal
897,100,3.7985,-9.272,39.76,4.0915,2.5605,2.156,3.254,0.7538,6.491,6.63,0.99512,0.10863,51.61,31.27,67.4,0,0,NCA,560,81.79,170,3,Deep_Discharge
1363,100,3.2729,16.411,34.68,4.0048,2.521,1.993,5.0,0.7618,6.876,10.153,0.9826,0.14397,49.1,34.66,29.1,1,3,NMC,917,73.77,0,3,Deep_Discharge
91,60,3.6897,-17.218,23.56,4.1022,2.8079,2.902,4.011,0.5536,1.904,9.972,0.99867,0.04806,24.55,14.07,60.4,0,0,LFP,92,98.95,2985,0,Normal
1390,60,2.8756,29.924,22.37,4.2286,2.9504,0.266,4.393,0.3728,3.164,6.791,0.97268,0.15133,25.83,13.02,40.8,2,2,LTO,964,72.87,6524,2,Overcharge
955,60,2.944,8.246,22.04,4.0486,2.5647,1.417,1.074,0.6821,7.388,7.452,0.95155,0.10707,23.02,16.84,70.8,0,0,NCA,696,79.95,249,3,Deep_Discharge
1478,60,3.8175,-0.532,41.84,4.1194,2.8979,1.775,3.279,0.9445,0.406,9.199,0.98764,0.15656,51.98,35.95,47.7,3,1,NCA,1052,63.89,0,0,Normal
1451,100,3.3337,-15.482,35.89,4.1432,2.6897,1.202,0.915,0.8537,2.977,6.512,0.97714,0.15789,53.0,23.96,65.0,0,0,NMC,1067,70.35,52,0,Normal
508,100,3.7734,17.641,39.56,4.045,2.8091,2.075,3.44,0.702,5.026,9.618,0.97836,0.08154,52.58,28.13,62.6,0,1,NMC,341,90.88,892,0,Normal
775,60,4.006,-8.884,32.04,4.0825,2.8819,2.718,4.086,0.3527,1.433,7.221,0.96118,0.10194,42.72,17.52,52.0,2,2,LFP,618,84.36,2240,4,Internal_Short
1966,60,4.0363,14.184,23.18,4.2278,2.855,2.152,1.641,0.7591,5.577,1.813,0.98006,0.1956,23.39,16.99,18.8,0,0,NMC,1400,59.06,0,2,Overcharge
34,50,3.0496,7.982,22.06,4.0739,2.5684,1.794,1.003,0.5409,2.552,9.205,0.98625,0.03956,24.68,19.13,61.3,0,0,NMC,0,96.57,1388,3,Deep_Discharge
205,75,3.5051,25.828,40.73,4.1588,2.5577,2.266,1.34,0.8166,7.56,4.296,1.0,0.05815,52.59,34.23,43.1,0,0,NMC,138,94.65,1283,3,Deep_Discharge
1104,50,3.8642,3.18,34.46,4.0342,2.9621,0.507,4.093,0.3284,0.874,10.61,0.96503,0.12666,39.3,21.89,42.9,2,0,NCA,713,77.02,89,0,Normal
1955,200,3.9223,62.327,27.34,4.1675,2.5397,1.964,2.826,0.6374,6.974,4.621,0.99097,0.19769,46.95,15.79,48.3,1,0,NMC,1381,58.26,0,3,Deep_Discharge
1585,100,3.9378,11.099,30.21,4.0698,2.6092,1.34,2.775,0.5494,4.927,2.917,0.97131,0.16488,38.24,27.06,63.8,2,1,NMC,1137,66.85,0,0,Normal
1895,60,3.1308,2.925,39.98,4.0578,2.7192,1.093,2.968,0.3101,5.068,3.635,0.92953,0.1973,45.9,34.81,54.8,2,1,NMC,1339,61.63,0,0,Normal
1411,75,3.0792,-7.781,35.63,4.031,2.9105,1.62,2.563,0.6292,0.422,2.189,0.96604,0.15263,46.56,20.79,57.9,3,1,LFP,1021,73.24,1450,0,Normal
1025,150,3.6555,17.533,29.08,4.0117,2.8013,2.453,4.344,0.4063,7.276,5.381,1.0,0.12221,31.45,24.23,69.7,0,1,NMC,699,76.7,363,0,Normal
1021,75,3.8746,-7.332,29.54,4.242,2.7856,1.355,2.636,0.3153,6.841,8.978,0.96533,0.12754,39.96,27.77,58.0,2,0,LFP,687,79.59,1838,2,Overcharge
1413,60,3.2628,-15.484,24.09,4.1035,2.846,2.167,3.061,0.7305,3.754,7.922,0.98327,0.14745,41.83,17.04,78.4,0,0,NCA,967,69.24,0,0,Normal
565,60,2.9518,-9.374,30.23,4.1944,2.9011,1.849,4.903,0.9908,4.032,10.458,1.0,0.07983,34.93,29.09,69.5,2,0,NCA,379,87.51,551,3,Deep_Discharge
1129,100,3.8393,-3.843,27.12,4.23,2.6163,2.765,2.386,0.7742,2.536,0.246,1.0,0.13004,31.87,26.39,32.2,0,0,LFP,782,74.36,1845,2,Overcharge
1795,75,3.2346,44.996,29.5,4.051,2.5095,1.446,1.098,0.9175,2.834,9.118,0.98535,0.17093,30.33,21.74,36.3,1,0,NMC,1264,62.36,0,3,Deep_Discharge
1845,100,3.0412,5.849,24.58,4.2175,2.5636,2.496,2.902,0.3883,3.975,7.302,0.98196,0.17824,42.4,20.62,45.8,3,2,NMC,1320,63.72,0,4,Internal_Short
1500,150,3.0142,-13.22,16.6,4.177,2.5826,2.558,3.582,0.5073,0.904,11.577,1.0,0.161,32.3,2.61,70.2,3,0,LTO,1042,70.72,6483,3,Deep_Discharge
702,150,3.2566,21.776,39.54,4.1445,2.52,1.5,0.801,0.8378,0.9,9.973,0.97862,0.10222,47.92,31.71,60.1,1,0,LFP,481,82.94,2202,3,Deep_Discharge
401,150,3.6594,3.77,35.73,4.2023,2.8738,1.568,0.978,0.4252,6.587,3.368,0.99502,0.07327,45.73,26.41,70.1,3,0,NCA,280,88.35,715,0,Normal
729,50,3.3197,25.895,27.35,4.0277,2.9425,1.134,0.317,0.717,3.208,10.37,0.96277,0.10279,29.91,19.62,43.5,1,0,NMC,553,87.46,792,0,Normal
1579,75,2.83,38.235,26.78,4.0659,2.8553,1.588,3.773,0.6303,7.843,10.505,0.97036,0.15942,41.9,26.73,46.6,2,2,NMC,1086,66.55,0,2,Overcharge
161,100,2.9405,-29.835,16.11,4.0328,2.5943,0.898,1.17,0.722,0.972,9.896,0.99406,0.04452,18.38,1.44,30.8,0,0,NCA,102,98.11,1127,3,Deep_Discharge
201,100,3.2212,-47.502,40.66,4.224,2.8032,2.603,4.525,0.9763,7.515,6.308,0.9581,0.05743,50.61,31.38,60.6,0,0,LFP,155,94.82,2754,2,Overcharge
1981,75,3.7566,39.829,42.54,4.0247,2.7603,0.9,2.674,0.8362,5.307,10.193,0.95919,0.20089,43.0,28.77,75.0,2,0,NMC,1384,59.27,0,0,Normal
995,60,2.9428,-13.746,29.12,4.245,2.91,0.921,4.785,0.9924,2.671,3.784,0.98433,0.12031,36.86,17.34,53.5,1,2,NMC,692,79.5,493,2,Overcharge
269,100,3.613,-33.97,33.27,4.0275,2.9711,2.708,2.039,0.3855,2.35,4.185,0.95588,0.05835,40.69,19.8,44.7,0,0,LTO,205,92.52,7760,0,Normal
1886,100,2.9738,-10.497,20.11,4.1655,2.8715,1.69,4.788,0.6245,7.657,7.778,0.97847,0.18507,21.95,7.53,72.0,4,2,NMC,1393,64.69,0,0,Normal
815,50,3.1068,-19.352,30.86,4.1651,2.7563,0.494,4.893,0.4726,2.91,0.328,0.95092,0.10716,36.21,28.96,71.4,2,0,LFP,518,81.97,2104,0,Normal
1294,75,3.0497,-15.45,23.12,4.2328,2.7555,1.168,0.824,0.7662,4.352,7.813,0.96922,0.149,30.11,16.32,65.7,0,0,LFP,825,73.34,1744,2,Overcharge
455,60,2.8975,17.115,23.15,4.0808,2.9039,2.175,0.8,0.3099,7.653,3.846,1.0,0.08019,23.66,21.37,34.1,0,0,NMC,294,90.34,1099,0,Normal
1485,60,3.7734,-7.188,27.11,4.083,2.5613,1.336,2.233,0.9254,1.893,10.75,0.97929,0.16895,31.15,12.28,58.0,2,0,LFP,1043,70.11,1509,3,Deep_Discharge
1750,50,3.4719,-32.357,25.76,4.2116,2.5767,1.385,2.187,0.7207,1.705,4.957,0.95382,0.17803,41.45,16.38,62.7,2,1,LFP,1265,64.31,1224,3,Deep_Discharge
1275,75,4.005,0.651,28.72,4.2446,2.6718,1.596,3.32,0.7695,1.96,8.983,0.97991,0.1405,42.79,19.21,37.8,2,2,NMC,919,75.16,128,2,Overcharge
1016,75,2.9434,-17.023,40.57,4.0075,2.8736,0.823,0.741,0.856,2.115,3.272,0.99691,0.12165,48.28,25.76,47.2,1,1,LTO,693,80.18,6916,0,Normal
1725,75,3.0099,-4.987,8.88,4.1588,2.533,1.387,3.83,0.822,5.728,3.951,0.9877,0.17089,21.89,-1.39,64.7,3,1,LFP,1176,64.05,1214,3,Deep_Discharge
295,100,3.2444,-3.842,24.67,4.0609,2.6722,0.803,1.28,0.7811,1.628,2.226,0.99975,0.06574,42.12,16.35,63.3,1,0,NMC,196,96.91,1103,0,Normal
1748,100,3.9105,16.91,36.32,4.182,2.6593,1.182,0.923,0.9634,0.608,2.893,0.97893,0.18163,51.35,25.77,50.1,4,2,LFP,1224,62.19,1161,3,Deep_Discharge
719,60,3.2434,-10.108,31.95,4.1932,2.7429,1.691,4.014,0.4662,5.841,1.296,0.97217,0.0963,42.06,17.58,31.8,0,0,NMC,457,84.15,827,0,Normal
1772,50,3.3922,13.956,22.2,4.1906,2.7319,2.142,0.585,0.3665,7.719,7.404,0.98553,0.17573,41.2,19.69,44.0,1,1,LFP,1241,60.14,1122,0,Normal
337,150,3.2373,-31.902,51.05,4.1089,2.8572,1.975,3.616,0.742,4.5,10.083,0.99305,0.06438,60.12,40.94,29.7,1,0,NMC,234,92.22,1102,0,Normal
878,60,2.9163,17.975,56.96,4.0395,2.8128,1.811,0.733,0.3451,3.099,3.407,0.97654,0.10868,70.71,56.8,58.7,2,1,LTO,549,79.42,6942,3,Deep_Discharge
1076,200,4.1622,25.979,29.84,4.1462,2.9514,1.867,3.752,0.6879,0.538,3.624,0.99317,0.11956,41.96,18.19,65.8,0,0,LTO,759,76.41,6839,0,Normal
791,100,3.5954,-4.605,20.09,4.1973,2.5903,1.631,3.995,0.7895,4.694,10.909,0.97783,0.10063,27.73,7.3,56.0,0,1,NMC,542,84.53,670,3,Deep_Discharge
1945,75,3.9424,-16.372,27.49,4.228,2.716,1.921,3.006,0.7718,2.825,1.09,0.96142,0.18406,42.22,21.33,56.4,2,1,LTO,1366,60.38,6001,2,Overcharge
216,200,3.7546,-21.552,18.73,4.1132,2.7,1.251,1.889,0.5363,5.304,1.1,0.97642,0.05044,31.96,12.6,42.8,0,0,NCA,133,96.23,1017,0,Normal
763,50,3.5457,-0.51,34.01,4.0614,2.5563,2.718,1.334,0.7747,7.658,9.248,0.98457,0.10343,34.21,31.51,40.8,0,0,NMC,494,84.18,756,3,Deep_Discharge
187,60,2.93,24.321,35.76,4.0297,2.5824,1.854,4.083,0.5345,0.472,3.008,0.97925,0.05551,36.6,35.04,59.2,0,0,NCA,135,96.14,912,3,Deep_Discharge
379,75,3.732,-8.516,39.85,4.1994,2.6683,2.822,0.713,0.864,5.619,6.373,0.96258,0.07321,57.57,39.05,71.9,0,0,LFP,278,92.31,2577,0,Normal
492,60,3.0253,22.229,33.99,4.1338,2.8674,1.333,4.877,0.9104,5.483,5.494,0.97196,0.07767,34.55,21.68,66.7,0,0,NCA,296,87.5,688,0,Normal
1064,150,3.4009,-23.028,32.29,4.1685,2.5751,1.305,3.94,0.7661,4.868,6.661,0.95946,0.12602,39.75,26.36,44.5,0,2,NMC,725,77.94,354,3,Deep_Discharge
1180,50,3.7122,-7.031,19.92,4.0398,2.6327,2.902,3.514,0.7392,5.9,1.025,0.98332,0.13179,27.58,7.95,63.0,2,1,LFP,905,77.31,1714,0,Normal
14,75,3.9342,-0.872,17.78,4.0016,2.8382,2.241,4.945,0.5013,3.181,4.556,0.9951,0.03715,20.14,12.63,71.6,0,0,NMC,6,98.67,1464,0,Normal
1836,75,3.7933,4.328,9.79,4.2419,2.7983,1.652,3.506,0.6257,1.247,7.684,0.98687,0.18839,20.38,8.17,82.3,2,1,LFP,1305,60.49,1160,2,Overcharge
64,100,3.7737,-6.655,30.81,4.2027,2.5522,2.212,0.699,0.4611,0.334,2.686,0.94864,0.03987,34.49,17.13,39.5,0,0,LTO,50,97.25,7900,3,Deep_Discharge
1880,60,3.0161,24.933,38.63,4.1,2.9719,1.311,1.748,0.793,3.38,1.803,0.98271,0.19151,48.93,34.9,72.7,3,1,NMC,1326,59.94,0,1,Thermal_Runaway_Risk
1862,60,3.3019,25.247,41.52,4.1143,2.574,2.325,3.01,0.7552,6.502,5.268,0.96052,0.18877,50.14,40.37,91.3,0,1,NMC,1285,57.21,0,3,Deep_Discharge
520,100,2.8622,-3.496,38.38,4.2323,2.5307,0.787,2.962,0.3765,4.849,11.324,0.94941,0.08447,44.56,35.38,43.4,1,0,NCA,363,89.07,617,2,Overcharge
1367,60,3.8432,-10.41,26.33,4.0519,2.6521,2.862,0.248,0.9285,1.436,11.382,1.0,0.1492,32.75,13.15,55.5,1,0,NMC,976,70.82,151,0,Normal
1152,100,4.1812,-12.008,48.59,4.2007,2.5132,1.49,1.448,0.9914,2.751,10.2,0.98954,0.13909,50.42,34.26,45.6,1,0,LTO,812,75.02,6893,3,Deep_Discharge
647,75,3.183,20.688,20.51,4.0045,2.5154,0.46,3.734,0.3992,5.407,3.092,0.95896,0.09091,38.53,8.5,25.3,1,0,LTO,507,87.04,7318,3,Deep_Discharge
1495,100,2.9272,-13.3,20.05,4.2189,2.7894,2.566,3.366,0.4929,7.429,8.325,0.98285,0.15891,28.1,14.88,39.2,2,0,LFP,1020,69.59,1315,0,Normal
1086,100,3.4896,-29.228,37.67,4.1473,2.9465,2.704,4.508,0.875,6.913,11.544,0.9857,0.12939,55.87,29.38,30.2,2,0,NMC,774,77.47,279,0,Normal
